title,content
Excellent service. Strongly recommend Aardy.,Excellent service. Answered all of my questions. Honors AARP discount.
Destiny was very helpful,"Destiny was very helpful, responsive, informed, pleasant and polite."
Miranda your representative was easy to…,Miranda your representative was easy to understand and answered my questions.
Great service!!,
Easy process and comparisons,The process was easy and it was fairly simple to compare plans
Great experience,
great coverage,"great coverage, high ratings, good price and endorsed by AARP"
Easy to use,Easy to use and lots of options that were easy to compare
Customer service was excellent,"Customer service was patient, knowledgeable, and kind!"
CFAR policy doesn’t cover mental illness,"Beware that a cancel for any reason policy does not cover mental illness. My husband was going through a manic episode when he booked a trip. After numerous phone calls trying to file a claim, I was told “mental illness is excluded. Even regarding CFAR polices, all policies require that you are medically fit for travel at the time of purchase otherwise none of the coverages apply, for anyone.” This statement was made by a representative from Aardy. This is just another loophole by an insurance company to deny a claim. They may want to make it clear that no one with a mental illness should take out CFAR policy."
I like that I was able to get a decent…,"I like that I was able to get a decent quote in a timely manner, considering that it was not thought of until 2 weeks of our trip!"
Easy website to get comparisons of the major providers of travel insurance.,"Too many travel insurance options if you Google for them. Aardy shows list of providers with prices, policy details and customer ratings. I found Aardy through AARP site and included discount from standard prices. We selected highly rated provider at reasonable price. Customer service people actually answer the phone to answer your questions. I had asked about comparing the details of the coverage between three providers. The representative went through them and explained what the differences are in which items are less important to consider keeping or removing. We had the policy emailed within minutes and had seven days after accepting the offer to cancel in case we changed our minds once we saw the complete policy documents or just had a change of mind."
IMG were very polite and deserve a 5 star review,IMG Choice was very easy to talk to and helpful with all the details.
Good Experience,"Professional, helpful"
Peter did an excellent job explaining…,Peter did an excellent job explaining our policies and was helpful with managing the total cost.
Peter was very helpful in figuring out…,Peter was very helpful in figuring out what I needed!
Miranda M,Miranda M. was extremely knowledgeable and friendly. She explained everything in a way that you could easily understand.
Great price,I needed a rental car whole I waited for my new one. It was easy to set up online and the rental car even commented on what a great price I got it for.
Quick and easy to complete purchase.,
Your representative was thorough in his…,Your representative was thorough in his explanation of the policy coverage.
Easy to follow,
Very helpful and clear advice,Very helpful and clear advice. And it was quick and easy!
Price and coverage were what I was…,Price and coverage were what I was looking for. Company appears to have favorable reviews
Easy,"Easy, Denise was patient and knowledgeable. She made obtaining the correct policy for our trip easy. Be sure to ask your advisor what discounts might be available (such as AARP)."
Excelent service.,Excelent service.
Quick and easy with great help from…,Quick and easy with great help from customer service.
"5 Stars, but....","Fortunately, we have never needed to file a claim while traveling. We would be better positioned to offer a review after filing a claim, so although this review is 5 stars, others should take that into consideration."
Great Agent Experience,"We had questions and we called about cancellation due to a pet injury or illness. We spoke to Maranda M. and she was professional, knowledgeable, and a pleasure to work with. She closed the deal with you by making us feel confident in our choice."
Easy to purchase and reasonably priced,
Easy application,
WAS able to speak to a LIVE individual,WAS able to speak to a LIVE individual. This makes ALL the difference in this day and age.
Amanda was helpful,Amanda was helpful and the product seems appropriate for my needs
Amanda answered all of my questions…,"Amanda answered all of my questions clearly and informatively. She clarified what was covered, what was not. She also directed me towards the Best policy, not the most expensive policy! I was happy to complete my purchase of a policy with Amanda on the spot after speaking with her."
Destiny was very patient and helpful…,"Destiny was very patient and helpful answering my questions (some of them more than once), and finding the right policy for me. Thank you Destiny."
Great interaction with Destiny,Great interaction with Destiny. She Helped me pick the right policy for our needs. Making travel and peace of mind so much easier
Easy to use,"Easy to use
Inexpensive"
Your agent was very informative and…,Your agent was very informative and helpful in getting me the coverage i desired without overpaying
Easy to navigate and obtain a policy.,
Amanda was very knowledgeable and she…,Amanda was very knowledgeable and she explained everything that I had questions on. It was a pleasure working with her. Very polite and I felt like she cared about truly helping me which is hard to find in employees these days! Thank you Amanda!!!
The agent was very helpful and nice,The agent was very helpful and nice. Wonderful to have great client service. His name is Jayson.
The associate was very knowledgeable…,The associate was very knowledgeable and helpful
Melanie was a fantastic agent,"Melanie was a fantastic agent. She was intelligent, articulate and very helpful. She was able to explain everything completely and plainly. Melanie helped me choose the right package for our needs and budget."
quick response,quick response. Answers to multiple questions.
The absence of a human falls short of…,The absence of a human falls short of reliable customer service.
Answered the phone immediately -- no…,"Answered the phone immediately -- no ""press one for . . ."" nonsense. A real person, VERY pleasant and knowledgeable. Completed the transaction quickly. Five stars for Amanda!"
Efficient & Friendly,Phone rep was very helpful and explained very well in an understandable manner - English!
A Great Company.,A quick response for all ot the E-mails I send to them. Options for the insurance I need.
Very helpful and friendly!,Loren was a great help and she assisted in my purchase.
Easy to use,"Clear coverage amounts and types
Ease of use"
Wonderful,"My agent, naladhh(no sure if spelling is correct) was wonderful. Very helpful. Very informative."
I won/t know how well they did until…,I won/t know how well they did until after Garland McQuinnmy trip
Felicia was very thorough,
Customer service,"Questions answered-Both Denise and Caroline were very helpful in setting up our insurance for recent trip.
Good price with AARP discount."
Easy to compare plans and prices,Easy to compare plans and prices.
Securing Travel Insurance with AARDY,Went through Aardy for travel insurance since we are members of AARP. Spoke with Peter and he was extremely helpful in explaining the insurance coverage. I would definitely go through Aardy again for travel insurance.
Professional & Knowledgeable,"The agents that assisted me, Peter and Melanie were very thorough, knowledgeable, professional, helpful and friendly and explained the options available that best suited my needs."
The journey of buying travel insurance...,"I spoke with Don & Felicia to buy my travel insurance. Both were knowledgeable & polite, plus tried to save me money without losing insurance benefits. I spoke with a 3rd person as well, but we got disconnected so I didn't speak with him long enough to get an impression."
Caroline at Aardy's very good to talk to…,Caroline was very pleasant to talk with. She was informative and helpful. I never felt like I was being pushed into having to buy a plan from her. Aardy.com is my go to place to search for travel insurance.
VERY EASY TO COMPARE ALL POLICYS,"I needed to shop around for the travel Insurance we needed and worked within our budget. We hope we will not need to use it, but now that we are senior citizens, you never know. Good coverage, Good rates."
I dealt with Denise and found her to be…,"I dealt with Denise and found her to be very professional and outgoing.
Very pleasant phone etiquette and should be commended.
Frank"
I am more than satisfied with my purchase due to,"The representative that I worked with was fantastic! When I called, he answered all my questions thoroughly. He explained all the details I needed in a friendly and knowledgeable way. It made purchasing the protection we need for a planned trip overseas seamless.
This gives me piece of mind for our travels. Thank YOU"
Very easy to book online,Very easy to book online. Best coverage for a good price.
Peter was very helpful and insightful…,Peter was very helpful and insightful regarding the proper insurance for you extended trip.
Transparent,She was very patient and took time to explain everything in very clear language.
AARDY Experience Awesome Due to My CS Rep,"The person I spoke to in customer service was amazing. Very clear, super warm, great counsel, etc. I will definitely use AARDY again."
Peter was very helpful,Peter was very helpful. He found what I needed for a good price and walked me through everything.
Best price and service I recived,
Your agents are excellent,"Your agents are excellent. They are knowledgeable, courteous and informative.
The process on line is clear and simple."
Agent was helpful in explaining the…,"Agent was helpful in explaining the differences between the different plans, IMG and AIG."
She answered all my questions clearly…,She answered all my questions clearly and quickly.
Getting a plan on one brief phone call…,Getting a plan on one brief phone call and understanding the agent
Information given was concise,"Information given was concise, thorough and professionally given.."
Knowledgeable helpful sales rep.,
Fast and easy,
Nadiyah was awesome,Nadiyah was awesome. Gave us the information and plan choices to meet our needs. Very grateful for her help.
Clarity to questions asked...as well as…,Clarity to questions asked...as well as a friendly and helpful attitude. Easy to understand. Excellent Service!
Great Customer Service,All agents that helped us insure our trip were very knowledgeable and helpful. Would highly recommend.
Clear explanation re trip cancellation!,Clear explanation re trip cancellation!
I spoke with Amanda,"I spoke with Amanda. She was cheerful, and helpful with my questions. Also offered different options to get the best policy for our trip."
Great Experience,The process of purchasing travel insurance through AARDY couldn’t have been any easier. The terms and pricing were very transparent and competitive. Hopefully I won’t need the coverage but I feel more comfortable knowing I have the coverage.
Very helpful and appreciated,Very helpful and appreciated
A nice variety of companies to compare…,A nice variety of companies to compare and easy to use
Excellent to work with,"Caroline could not have been more helpful, knowledgeable and pleasant to work with. I don't mind doing surveys when someone as excellent to work with as Caroline has been of so much assistance."
Amanda was very helpful with getting us coverage.,Amanda was very helpful.
Great customer service,"Sereniti was very thorough, professional and efficient. She answered all my questions and helped me choose a policy that fits our needs"
Quick & best quote!,"Quick, best quote and easy website to"
Is very functional,Is very functional
Knowledgable representative,Knowledgable representative. Very helpful.
Very reasonably priced very good…,Very reasonably priced very good medical coverage Pre-medical condition waiver Very satisfied with the policy and service would recommend this company to anybody
Denice is a true travel insurance…,Denice is a true travel insurance professional.
Amanda was fabulous!,
Easy website and good options,Easy website and good options. Lots of information
Denise was very helpful,"Denise was very helpful, efficient and excellent tone of voice. Thanks"
Fast,"Fast, fast, fast response to my questions and problems to help me correct the mistake I made. Very, very, very helpful, kind and efficient."
Don was very helpful and explained…,Don was very helpful and explained things clearly. When I couldn't open some of the attachments he sent he resent.
It was an easy process to choose the…,It was an easy process to choose the policy we wanted and the coverages we great at a good price.
Well designed web page,"Well designed web page, easy to use, clear directions, simple...nice job to the person who designed it!!"
Great product,Great product. This company's associates are truly professionals that listen to your needs and recommend the right coverage for you. Highly recommend AARDY.
Melanie and Naidyia were very helpful,Melanie and Naidyia were very helpful. Very Nice to work with and talk to. I appreciated their help.
Outstanding Customer Service,"Very helpful and courteous customer service. Very knowledgeable and friendly. Peter was very patient and understanding, articulate in answering my questions quickly and promptly."
The representatives I spoke to were…George & a female who did the final paperwork & payment,The representatives I spoke to were very helpful & knowledgeable.
easy to enroll and navigate,
Great overall experience,"After careful consideration, I found good reviews about AARDY so reached out first online, then via phone. Peter explained everything well and answered all questions. I also had contact with a couple other employees (so sorry, but I failed to get their names) and they were just as helpful. The entire process was great! I just hope my little travel party doesn't have to use the insurance. As Peter said - it gives us all peace of mind to have it though."
The AARDY agent was extremely helpful,"The AARDY agent was extremely helpful, patient and knowledgeable in answering my many questions and did not try to oversell the policy. I was very appreciative of the service AARDY provided in helping me find the best policy for my needs and I highly recommend them."
AARDY Best Choice.,Easy to use. Responsive customer service. Great price.
Easy to use,Nothing in particular
Melanie was friendly,"Melanie was friendly, knowledgeable and efficient. My needs were met within minutes. Thank you so much!"
Easy reading and choosing my plan.,
Easy to Use,The site was user friendly.
Jayson W,"Jayson W. Was very helpful, was knowledgeable and returned calls promptly when I had questions."
Denise was very good.,
Do A Thorough Research of Providers,Researching for the best and affordable travel insurance may be tedious and stressful. We found AARDY / Trustpilot provided the best selection of insurance providers to select from. Customer service was also helpful in addressing questions I had.
very knowlegable and customer friendly,very knowlegable and customer friendly. she did a great job helping me select the right type of travel insurance policy
Easy to sign up for and great price,
The phone was answered promptly and…,The phone was answered promptly and Amanda was able to steer me in a direction that met my needs quickly. She was patient with me as I looked for information.
Helpful,Friendly and helpful.
Representatives that I spoke with and…,Representatives that I spoke with and help guide me seemed ethical and knowledgable about the insurance product that we purchased.
Ms Felicia,Ms. Felicia is very professional and knowledgeable
Jason was very friendly and…,Jason was very friendly and professional. He was extremely helpful in being proactive on recommendations and additional help in making our selection easy in choosing AARDY. It is very seldom in this days work environments that a representative actually cares about their customers. We will definitely use AARDY for our next trip due to the wonderful customer service we received by Jason. Thank you a happy customer.
Had no trouble at all getting my travel…,"Had no trouble at all getting my travel insurance! Miana was helpful and got me quickly to the correct person, Amanda, (who was wonderful as well!) to add an optional bundle. Great deal! Helpful, patient and courteous staff! What more could you ask for? :)"
"Easy, fast information",Simple. We were able to view the complete policy in order to make a decision.
Amanda was very helpful and made great…,"Amanda was very helpful and made great suggestions which I really needed and help me save money as well.
shes A+
Lucky you guys to have such a good employee. I wish I could steal her."
The employees we spoke to were all very…,The employees we spoke to were all very friendly and patient to answer all our questions and help make our decision to us AARDY.
Travel insurance,"I was looking to purchase travel insurance, and after searching I found AARDY. I had a few questions, so I started a chat. I received a phone call back from Amanda, and she was extremely helpful. She was pleasant, knowledgeable and was able to answer all of my questions. By the end of our call, I did end up purchasing some travel insurance. It was decently priced, and I will definitely purchase from them again."
easy and best price,very easy to get and best price compared to others
Easy process to get trustworthy and reasonable cost multiple quotes,"Easy process to get multiple quotes, compare, and select. The companies they gave quotes for were all found respectable and trustworthy. Last but not least, it saved me a good deal pf money!"
Great experience calling the Client…,"Great experience calling the Client Manager - Maranda M.
She was very professional and provided me with reasonable quotes and choices. I looked at the quotes she has provided and bought the one that I prefer. Great customer service and thank you Maranda M. for helping me and answering my questions."
Easy to navigate,
Melanie was very pleasant,"Melanie was very pleasant, helpful and knowledgeable. I very much enjoyed working with her to get the insurance we needed for an upcoming trip."
"Great Coverage, Competitive Price, Efficient Service","I dealt with three agents - Lauren, Denise, and Shanna - while reviewing travel insurance policies and options. All of them were professional and knowledgeable. I was able to find coverage with the options I need at a competitive price. Overall it was a good experience."
This was the first time purchasing…,This was the first time purchasing travel insurance even though we have traveled extensively. Since our trip is not until September of 2026 the professionals you have working there were extremely helpful.
User friendly,User friendly. Provided other plans for comparison. Timely response for questions asked.
Travel insurance …,Easy to navigate and compare to other insurances
Destiny,"Destiny, was very helpful, explained about the policy and answered all questions"
Amanda quickly helped me find the right…,Amanda quickly helped me find the right insurance for our trip.
Easy to use website,"Easy to use website
Helpful customer service"
Very easy to use; Comprehensive,Easy to navigate and very user friendly.
AARDY,After many attempts to find travel insurance I was able to find what I needed with AARDY and with reasonable prices!
Clear and complete information,"Clear and complete information, and courteous service."
Kendall P was terrific,"Kendall P was terrific. He helped us easily purchase 3 policies. He was knowledgeable, patient and recommended policies for our specific needs.
Thank you!"
Kendall,"Kendall, the customer service rep to whom I spoke, was knowledgeable and pleasant, very helpful in making a purchase I know very little about."
She was very helpful with my questions,
Good coverage at a great price.,
Complete coverage at a good price,The travel insurance package overs all the things that i was concerned about at a fair price.
Easy to use,Great place to compare travel insurance
Information provided on website is…,Information provided on website is complete and properly descriptive. Information and responses provided by on line customer reps were good.
She answered all my questions,
I had two very good experiences,"I had two very good experiences. The first with the customer service representative Serenity who answered all my questions, clearly and patiently, explaining in great detail the provisions of the policy. I was interested in purchasing for upcoming trip.

When I called back to pay for the travel insurance policy, I got another very competent young woman, Denise who patiently reviewed all of the policy coverage with me before I paid for it.

I highly recommendAARDY since they hire such pleasant and competent people to represent them. In fact, I did recommend AARDY to a friend who is traveling with me and seeking travel insurance"
Great selection of policies,As always I picked the type of insurance I needed at the price compatible to what I could afford
Purchase of travel policy,"I called and spoke to Serenity and she was very knowledgeable and kind, answered all my questions and sent a quote as I advised I would go over the info and call back. I did called back and spoke to Kendall and he walked me through setting up the policy and explaining the policy. He was extremely helpful and courteous, giving me peace of mind in my purchase of this travel policy."
Great experience talking with and…,Great experience talking with and buying travel insurance from Denise.
Excellent service from agent named…,"Excellent service from agent named Kendall, very helpful, explained fully, very personable! Will use this service again for next trip!"
Destiny did a very clear and consice…,Destiny did a very clear and consice explanation of the Policy!
simple to use and competitively priced.,
Service I recieved,Peter was outstanding with the info and help I recieved
Great Experience,"Your representative, Amanda, was extremely pleasant, knowledgeable and easy to work with."
I will have more to review the company…,I will have more to review the company on after the trip. Feel comfortable with policy and customer service rep I talked to could answer all my questions. Downloaded policy on phone in case it is needed. Thank you
Destiny our agent was extremely helpful and knowledgeable,Destiny our agent was extremely helpful.
Shawna was very helpful,"Shawna was very helpful, concise and made us feel like our business was important. Her explanations were easy to understand."
Agent Maranda is friendly and explained…,Agent Maranda is friendly and explained all my questions in detail.
Easy Peasy,Easy to navigate and compare.
I had to cancel one policy and re-do it…,I had to cancel one policy and re-do it because of a mistake I made. Don was so helpful and kind to help me. Everything turned out great.
Destiny was very professional and…,"Destiny was very professional and business like.
We were very impressed"
Easy-to-use …,Site was easy to use and compare policies to make appropriate decisions based off needs. Finalizing the purchase of a plan was also simple.
Very easy to use.,
Great resource for travel insrance,"I used this site to compare coverage options and prices from multiple different insurance companies, as well as those provided by my travel agent. Once I finally decided on the best option for my travel plans, I called the contact number to speak to an agent to help answer a few questions. George was most helpful and helped to explain additional options that would meet our needs. I had the policy within minutes of confirming payment. It provides a peace of mind knowing that I have coverage, but I definitely don't want to have the need to use it."
Customer care,"Very helpful reps, makes one feel really cared for"
Destiny was patient and knowledgeable…,Destiny was patient and knowledgeable with all my questions. She made me feel reassured as I was proceeding with this process for the first time.
very good customer service and support!,
Always Meets My Needs at Affordable Price,Your agent was very helpful. I have always gotten wonderful service from your company
Excellent,"I’m 71 and have never purchased travel insurance for myself before. It was great to be able to speak directly to a real person to get my questions answered. Miranda was friendly, reassuring, and very helpful."
Denise was great she answered all of my…,Denise was great she answered all of my questions and was very helpful.
Easy comparing & then getting coverage,Easy comparing & then getting coverage
The agent Ms Seriniti,"The agent Ms. Seriniti was very knowledgeable, and very helpful."
Sereniti was very helpful,"Sereniti was pleasant, informative and informed. She asked appropriate questions and answered my concerns."
She explained everything greatly,She explained everything greatly! She was professional and very patient.
Deal with Shanna and you will be delighted,"Shanna provided useful advice, and matched a policy to my needs, which were a bit complex."
As always AMAZING service,"As always the service was attentive, patient, inciteful and fulfilled my needs following intial deposits for me & my wife as well as my kids family in CA.

Kendal was delightful. I always try to encourage my friends to purchase their travel insurance throught this broker. They have been amazing, even helping me with a claim after I herniated a lumbar disc and the insurer was not forthcoming.

Thanks, as always!!!"
The site was so easy to use and then buy a policy.,"The site was very easy to use. There were a variety of coverages to choose from , and it was easy to compare each one. The rates were better than other company sites."
AARDY thru AARP Great Travel Insurance,The AARDY/AARP web site was easy to use. We quickly found several reasonably priced options and were able to pick the one that best fit our situation.
Miranda was very nice and knowledgeable,Miranda was very nice and knowledgeable
Travel insurance was affordable,Travel insurance was affordable. Amanda was very knowledgeable and helpful picking out a plan suited for us.
Denise was very knowledgeable and…,Denise was very knowledgeable and helpful! She made it easy to get trip insurance and explained everything!
Great Customer Service,"After receiving the quote with policies from several different companies, I called the customer service department directly to ask questions. Peter was so informative, answered all my questions, gave me his opinion on the best policy and why. He wanted to make sure I was adequately covered for my trip. I wanted to research a little more so, he kindly emailed the quote to me. When I was ready to purchase, it was really easy. Peter was not available but Denise was also very helpful and my policy was purchased in minutes."
my questions were answered and I feel…,my questions were answered and I feel as though I could trust the agent
Amanda my agent was very helpful and…,Amanda my agent was very helpful and patient in answering my concerns .So polite and knowledgeable . Thank
DENISE was perfect!,"Denise was friendly and knowledgeable. She explained the policy differences, pricing, and expectations. Denise has a wonderful voice for phone work! I felt neither rushed nor talked down to. It was a great experiences."
It was so easy and a great price,It was so easy and a great price
Very helpful,Very helpful. Answered all our questions.
Miranda was an amazing representative…,"Miranda was an amazing representative ... thoughtful, helpful, cheerful and very knowledgeable."
Maranda was very helpful and …,Maranda was very helpful and thoroughly explained the options for my policy.
First Time User of AARDY,"Peter answered all of my questions and set us up with a policy that meets our needs. He really exceeded my expectations. He was polite, professional, and thorough. Thanks for a great experience!"
happy camper,I worked with Destiny to select the best coverage for my need for an upcoming trip. She was very knowledgeable and patient. She was able to answer all of my coverage questions and we selected the one insurance that would be best suitable for the trip
So far before our cruise it was pretty…,So far before our cruise it was pretty easy to buy this insurance. It seems really good. It gave me peace of mind to have in case of emergency and or a cancelation of our cruise.
Very efficient,Very efficient. I booked on line and received a quote in seconds. I then called ( no waiting on the phone either and got an agent right away) and spoke to Lauren as I had some questions. She answered them all and was so friendly. I immediately booked the insurance. It all took less than 10 minutes. Very satisfied!
Easy Process !,Easy to see all normal travel insurers on one website for comparison. AARP discount was nice too.
Effective Support Help Thru Policy Purchase,"Luis V, provided clear answers to all of my questions and helped me purchase 2 policies covering 6 different people in 2 states. She finished by confirming that I received all the emails documenting my purchases.
Very pleased; I had expected it to be harder!"
Peter R,"Peter R. was very helpful, He was very knowledgeable on the insurance policy quotes. He read all the policy coverages. Demonstrated excellent communication of the Policy. I would Highly recommend using AARDY for all of our Trips.
I will definitely be calling Peter R. again when we book another trip for our future vacations."
"Lauren Jason, Melanie","Lauren, Jason and Melanie were exceptionally helpful, friendly and very informative. I was impressed with their knowledge. You all made things easy!"
Great customer servie,Miranda answered all my questions and helped me choose the right policy
very pleasant talking with rep,
Peter did an awesome job,Peter did an awesome job. I highly recommend him.
"So Far, So Good!","I have a difficult time reviewing the actual product (the policy itself) because only time will tell whether it is all itʻs marketed as. However, you customer service agents (Shanna and Nadiyah) were very courteous, efficient and knowledgeable.
This is the first time we actually shopped for coverage instead of taking the policy from the tour company and we hope everything works out one way or another."
Wonderful Experience!,"Denise so clearly answered all my questions. She was very friendly, patient, and knowledgeable."
My agent was Shanna P,"My agent was Shanna P. and she was very, very helpful. She was courteous, polite and did I say very helpful. I would use her again if I need travel insurance."
AARDY Made It easy to find Travel Insurance,"My service representative, Destiny, was very informative and helpful! She was knowledgeable about the various travel insurance packages. She patiently answered my many questions about the various plans. AARDY made it easy to find the travel insurance I needed!"
Difficult Marketplace,Travel insurance is a difficult marketplace to wander by oneself. Melanie took charge and found the most appropriate coverage for our upcoming Air/Sea vacation. Kudos to Melanie.
Excellent agent!,"Excellent agent!
Peter was very knowledgeable, congenial, and quickly answered all our questions. He made sure he had a thorough understanding of our travel needs before suggesting a policy. There were no ""salesman pitches"" but rather a conversation about options. The policy he recommended best suits our forthcoming trip."
Easy to navigate,Easy to navigate. Reasonable price.
